Date,Name,Year,Letterboxd URI,Rating,Tags,Watched Date
2017-09-27,Lost in Translation,2003,https://letterboxd.com/jojonium/film/lost-in-translation/,4,,2017-09-26
2017-09-29,Made of Imagination,2012,https://letterboxd.com/jojonium/film/made-of-imagination/,2,,2017-09-28
2017-09-29,Cousin Ben Troop Screening,2012,https://letterboxd.com/jojonium/film/cousin-ben-troop-screening/,2.5,,2017-09-28
2017-09-29,Castello Cavalcanti,2013,https://letterboxd.com/jojonium/film/castello-cavalcanti/,3.5,,2017-09-28
2017-09-29,Prada: Candy,2013,https://letterboxd.com/jojonium/film/prada-candy/,2,,2017-09-28
2017-09-29,Do You Like to Read?,2012,https://letterboxd.com/jojonium/film/do-you-like-to-read/,2.5,,2017-09-28
2017-09-29,2036: Nexus Dawn,2017,https://letterboxd.com/jojonium/film/2036-nexus-dawn/,2.5,,2017-09-28
2017-09-29,2048: Nowhere to Run,2017,https://letterboxd.com/jojonium/film/2048-nowhere-to-run/,2.5,,2017-09-28
2017-09-29,Blade Runner: Black Out 2022,2017,https://letterboxd.com/jojonium/film/blade-runner-black-out-2022/,3.5,,2017-09-28
2017-09-29,The Lost City of Z,2016,https://letterboxd.com/jojonium/film/the-lost-city-of-z/,3.5,,2017-09-28
2017-09-30,Blade Runner,1982,https://letterboxd.com/jojonium/film/blade-runner/,4.5,beta,2017-09-29
2017-10-01,Wheels on Meals,1984,https://letterboxd.com/jojonium/film/wheels-on-meals/,3,,2017-09-30
2017-10-01,Natural Born Killers,1994,https://letterboxd.com/jojonium/film/natural-born-killers/,4,,2017-09-30
2017-10-03,The Evil Dead,1981,https://letterboxd.com/jojonium/film/the-evil-dead/,3.5,HoopTober4.0,2017-10-02
2017-10-03,Evil Dead II,1987,https://letterboxd.com/jojonium/film/evil-dead-ii/,4.5,hooptober4.0,2017-10-02
2017-10-04,Bug,2006,https://letterboxd.com/jojonium/film/bug-2006/,3.5,hooptober4.0,2017-10-03
2017-10-06,Dead Ringers,1988,https://letterboxd.com/jojonium/film/dead-ringers/,3.5,hooptober4.0,2017-10-05
2017-10-06,The Host,2006,https://letterboxd.com/jojonium/film/the-host/,3,hooptober4.0,2017-10-05
2017-10-07,The Shawshank Redemption,1994,https://letterboxd.com/jojonium/film/the-shawshank-redemption/,4,beta,2017-10-06
2017-10-08,The Cabinet of Dr. Caligari,1920,https://letterboxd.com/jojonium/film/the-cabinet-of-dr-caligari-1920/,4,hooptober4.0,2017-10-07
2017-10-08,The Real Secrets Hidden in Antarctica... Revealed,2017,https://letterboxd.com/jojonium/film/the-real-secrets-hidden-in-antarctica-revealed/,3,youtube,2017-10-07
