Date,Name,Year,Letterboxd URI
2017-12-13,Trainspotting,1996,https://letterboxd.com/film/trainspotting/
2017-12-13,Reservoir Dogs,1992,https://letterboxd.com/film/reservoir-dogs/
2017-12-13,L.A. Confidential,1997,https://letterboxd.com/film/la-confidential/
2017-12-29,Young and Innocent,1937,https://letterboxd.com/film/young-and-innocent/
2017-12-29,The Animatrix,2003,https://letterboxd.com/film/film:10261/
2018-01-04,Tokyo Tribe,2014,https://letterboxd.com/film/tokyo-tribe/
2018-01-05,The City of Lost Children,1995,https://letterboxd.com/film/the-city-of-lost-children/
2018-01-05,The Star Wars Holiday Special,1978,https://letterboxd.com/film/the-star-wars-holiday-special/
2018-01-05,Personal Shopper,2016,https://letterboxd.com/film/personal-shopper/
2018-01-05,Tropic Thunder,2008,https://letterboxd.com/film/tropic-thunder/
2018-01-06,Ad Astra,2019,https://letterboxd.com/film/ad-astra-2019/
2018-01-08,House,1977,https://letterboxd.com/film/house/
2018-01-13,Bloodsport,1988,https://letterboxd.com/film/bloodsport/
2018-01-14,The Neighbors,2014,https://letterboxd.com/film/the-neighbors-2014/
2018-01-14,Oblivion,2013,https://letterboxd.com/film/oblivion-2013/
2018-01-15,World Apartment Horror,1991,https://letterboxd.com/film/world-apartment-horror/
2018-01-17,The Man from Earth,2007,https://letterboxd.com/film/the-man-from-earth/
2018-01-17,Mandy,2018,https://letterboxd.com/film/mandy-2018/
2018-01-18,The Path to 9/11,2006,https://letterboxd.com/film/the-path-to-9-11/
2018-01-18,Don's Plum,2001,https://letterboxd.com/film/dons-plum/
2018-01-21,Dallos,1983,https://letterboxd.com/film/dallos/
2018-01-23,Castaway on the Moon,2009,https://letterboxd.com/film/castaway-on-the-moon/
2018-01-23,Twin Peaks: The Return,2017,https://letterboxd.com/film/twin-peaks-the-return/
2018-01-25,Intolerance: Love's Struggle Throughout the Ages,1916,https://letterboxd.com/film/intolerance-loves-struggle-throughout-the-ages/
2018-01-25,Foolish Wives,1922,https://letterboxd.com/film/foolish-wives/
2018-01-25,Harold and Maude,1971,https://letterboxd.com/film/harold-and-maude/
2018-01-25,Antiporno,2016,https://letterboxd.com/film/antiporno/
2018-01-26,The Virgin Suicides,1999,https://letterboxd.com/film/the-virgin-suicides/
2018-01-27,Matinee,1993,https://letterboxd.com/film/matinee/
2018-01-28,'71,2014,https://letterboxd.com/film/71/
2018-01-30,Cast Away,2000,https://letterboxd.com/film/cast-away/
2018-02-01,What We Do in the Shadows,2014,https://letterboxd.com/film/what-we-do-in-the-shadows/
2018-02-02,Santa Sangre,1989,https://letterboxd.com/film/santa-sangre/
2018-02-03,Batman Ninja,2018,https://letterboxd.com/film/batman-ninja/
2018-02-08,"Don’t Worry, He Won’t Get Far on Foot",2018,https://letterboxd.com/film/dont-worry-he-wont-get-far-on-foot/
2018-02-09,On Body and Soul,2017,https://letterboxd.com/film/on-body-and-soul/
2018-02-09,Zero Charisma,2013,https://letterboxd.com/film/zero-charisma/
2018-02-09,Magnolia,1999,https://letterboxd.com/film/magnolia/
2018-02-10,The Man Who Killed Don Quixote,2018,https://letterboxd.com/film/the-man-who-killed-don-quixote/
2018-02-10,The House That Jack Built,2018,https://letterboxd.com/film/the-house-that-jack-built-2018/
2018-02-10,Hereditary,2018,https://letterboxd.com/film/hereditary/
2018-02-10,Moon,2009,https://letterboxd.com/film/moon/
2018-02-10,Overlord,2018,https://letterboxd.com/film/overlord-2018/
2018-02-10,The Bikini Carwash Company,1992,https://letterboxd.com/film/the-bikini-carwash-company/
2018-02-11,The 15:17 to Paris,2018,https://letterboxd.com/film/the-1517-to-paris/
2018-02-12,Empire of Dust,2011,https://letterboxd.com/film/empire-of-dust/
2018-02-12,Fear and Loathing in Las Vegas,1998,https://letterboxd.com/film/fear-and-loathing-in-las-vegas/
2018-02-12,Time Bandits,1981,https://letterboxd.com/film/time-bandits/
2018-02-12,The Number 23,2007,https://letterboxd.com/film/the-number-23/
2018-02-13,Ran,1985,https://letterboxd.com/film/ran/
2018-02-14,THX 1138,1971,https://letterboxd.com/film/thx-1138/
2018-02-15,Reality,2014,https://letterboxd.com/film/reality-2014/
2018-02-15,Repo Man,1984,https://letterboxd.com/film/repo-man/
2018-02-16,Yi Yi,2000,https://letterboxd.com/film/yi-yi/
2018-02-16,Unforgiven,1992,https://letterboxd.com/film/unforgiven/
2018-02-16,Mystic River,2003,https://letterboxd.com/film/mystic-river/
2018-02-18,Forbidden Planet,1956,https://letterboxd.com/film/forbidden-planet/
2018-02-18,Tag,2015,https://letterboxd.com/film/tag/
2018-02-22,Godzilla vs. Biollante,1989,https://letterboxd.com/film/godzilla-vs-biollante/
2018-02-23,Nocturnal Animals,2016,https://letterboxd.com/film/nocturnal-animals/
